SU3_ADJOINT_SWAP_TABLE_V1
# Eq8 convention: B(g1,g2)[in] = sum_out W[out,in] B(g2,g1)[out]
# Irrep convention: SU(3) Dynkin labels p q; adjoint=(1,1)
# Vertex convention: isometric real CG maps; multiplicities are zero-based
# Self vertex mult=0: normalized action v tensor X -> rho(X)v (except 8x8)
# 8x8->8: mult=0 Jordan/symmetric, mult=1 Lie-bracket/antisymmetric
NC 3
ADJOINT_PQ 1 1
MAX_PREFIX_GLUONS 2
NBLOCKS 46
NPATHS 137
NVALUES 557
BEGIN_BLOCKS
# block left_p left_q right_p right_q size
18 3 3 -3.12500000000000000e-01
18 3 4 -3.84260653723485002e-01
18 4 0 -4.43705983732471276e-01
18 4 1 3.74165738677394055e-01
18 4 2 8.83883476483184743e-02
18 4 3 -3.84260653723484891e-01
18 4 4 -7.12499999999999911e-01
19 0 0 1.00000000000000000e+00
20 0 0 2.00000000000000039e-01
20 0 1 9.79795897113271308e-01
20 1 0 9.79795897113271197e-01
20 1 1 -2.00000000000000011e-01
21 0 0 -2.49999999999999972e-01
21 0 1 9.68245836551854144e-01
21 1 0 9.68245836551854255e-01
21 1 1 2.49999999999999972e-01
22 0 0 1.00000000000000000e+00
23 0 0 1.00000000000000000e+00
24 0 0 -8.33333333333333703e-02
24 0 1 -2.10818510677892007e-01
24 0 2 3.48608344389198188e-01
24 0 3 7.93856620135735436e-01
24 0 4 -4.43705983732471054e-01
24 1 0 -2.10818510677891979e-01
24 1 1 6.66666666666666380e-02
24 1 2 8.81917103688196979e-01
24 1 3 -1.82574185835055414e-01
24 1 4 3.74165738677393944e-01
24 2 0 3.48608344389198077e-01
24 2 1 8.81917103688196868e-01
24 2 2 4.16666666666666574e-02
24 2 3 3.01903682212280033e-01
24 2 4 8.83883476483184743e-02
24 3 0 7.93856620135735325e-01
24 3 1 -1.82574185835055414e-01
24 3 2 3.01903682212279922e-01
24 3 3 -3.12500000000000111e-01
24 3 4 -3.84260653723484891e-01
24 4 0 -4.43705983732471165e-01
24 4 1 3.74165738677394222e-01
24 4 2 8.83883476483184327e-02
24 4 3 -3.84260653723485002e-01
24 4 4 -7.12499999999999911e-01
25 0 0 1.00000000000000000e+00
26 0 0 -1.66666666666666657e-01
26 0 1 4.47213595499958039e-01
26 0 2 -3.33333333333333259e-01
26 0 3 2.04124145231931592e-01
26 0 4 -4.18330013267037781e-01
26 0 5 6.66666666666666630e-01
26 1 0 4.47213595499957761e-01
26 1 1 2.00000000000000039e-01
26 1 4 7.48331477354787999e-01
26 1 5 4.47213595499957872e-01
26 2 0 -3.33333333333333370e-01
26 2 2 3.33333333333333315e-01
26 2 3 -8.16496580927726701e-01
26 2 5 3.33333333333333370e-01
26 3 0 2.04124145231931564e-01
26 3 2 -8.16496580927726479e-01
26 3 3 -5.00000000000000000e-01
26 3 5 -2.04124145231931536e-01
26 4 0 -4.18330013267037670e-01
26 4 1 7.48331477354788333e-01
26 4 4 2.99999999999999989e-01
26 4 5 -4.18330013267037726e-01
26 5 0 6.66666666666666741e-01
26 5 1 4.47213595499957817e-01
26 5 2 3.33333333333333370e-01
26 5 3 -2.04124145231931536e-01
26 5 4 -4.18330013267037892e-01
26 5 5 -1.66666666666666630e-01
27 0 0 8.33333333333333426e-02
27 0 1 1.31761569173682480e-01
27 0 2 5.59016994374947340e-01
27 0 3 1.61374306091975617e-01
27 0 4 4.72455591261534344e-02
27 0 5 7.96819072889595192e-01
27 1 0 1.31761569173682591e-01
27 1 1 -2.91666666666666907e-01
27 1 2 1.76776695296636782e-01
27 1 3 8.67527617235709370e-01
27 1 4 -2.24105364250198807e-01
27 1 5 -2.51976315339484891e-01
27 2 0 5.59016994374947340e-01
27 2 1 1.76776695296636865e-01
27 2 2 -2.50000000000000000e-01
27 2 3 2.16506350946109816e-01
27 2 4 7.39509972887451905e-01
27 3 0 1.61374306091975783e-01
27 3 1 8.67527617235709037e-01
27 3 2 2.16506350946109927e-01
27 3 3 6.25000000000000000e-02
27 3 4 -2.74471895516775255e-01
27 3 5 -3.08606699924183769e-01
27 4 0 4.72455591261534066e-02
