SU3_ADJOINT_SWAP_TABLE_V1
# Eq8 convention: B(g1,g2)[in] = sum_out W[out,in] B(g2,g1)[out]
# Irrep convention: SU(3) Dynkin labels p q; adjoint=(1,1)
# Vertex convention: isometric real CG maps; multiplicities are zero-based
# Self vertex mult=0: normalized action v tensor X -> rho(X)v (except 8x8)
# 8x8->8: mult=0 Jordan/symmetric, mult=1 Lie-bracket/antisymmetric
NC 3
ADJOINT_PQ 1 1
MAX_PREFIX_GLUONS 4
NBLOCKS 162
NPATHS 523
NVALUES 2431
BEGIN_BLOCKS
# block left_p left_q right_p right_q size
143 2 4 4 0 0 0 0
143 3 5 2 0 0 0 0
143 4 5 2 0 1 0 0
143 5 5 2 1 0 0 0
143 6 5 2 1 1 0 0
143 7 6 0 0 0 0 0
143 8 6 3 0 0 0 0
143 9 7 1 0 0 0 0
144 0 4 4 0 0 0 0
144 1 6 3 0 0 0 0
145 0 4 1 0 0 0 0
145 1 5 2 0 0 0 0
145 2 5 2 1 0 0 0
145 3 6 0 0 0 0 0
145 4 7 1 0 0 0 0
146 0 4 4 0 0 0 0
146 1 5 2 0 0 0 0
146 2 5 2 1 0 0 0
146 3 6 3 0 0 0 0
146 4 6 3 0 1 0 0
146 5 7 1 0 0 0 0
147 0 5 2 0 0 0 0
147 1 5 2 1 0 0 0
147 2 6 0 0 0 0 0
147 3 6 3 0 0 0 0
147 4 7 1 0 0 0 0
147 5 7 1 0 1 0 0
148 0 6 3 0 0 0 0
149 0 6 3 0 0 0 0
149 1 7 1 0 0 0 0
150 0 7 1 0 0 0 0
151 0 4 1 0 0 0 0
152 0 4 1 0 0 0 0
153 0 4 1 0 0 0 0
153 1 5 2 0 0 0 0
154 0 4 1 0 0 0 0
154 1 4 1 0 1 0 0
154 2 5 2 0 0 0 0
154 3 6 0 0 0 0 0
155 0 5 2 0 0 0 0
156 0 4 1 0 0 0 0
156 1 5 2 0 0 0 0
156 2 5 2 0 1 0 0
156 3 6 0 0 0 0 0
156 4 7 1 0 0 0 0
157 0 4 1 0 0 0 0
157 1 5 2 0 0 0 0
157 2 6 0 0 0 0 0
157 3 7 1 0 0 0 0
158 0 5 2 0 0 0 0
158 1 7 1 0 0 0 0
159 0 5 2 0 0 0 0
159 1 6 0 0 0 0 0
159 2 7 1 0 0 0 0
159 3 7 1 0 1 0 0
160 0 7 1 0 0 0 0
161 0 7 1 0 0 0 0
END_PATHS
BEGIN_VALUES
# block out_path in_path coefficient
0 0 0 1.00000000000000000e+00
